sentence,label,length
products look feel shall able incorporate aspects customers organization logo branding identity,1,12
product shall make users want use 80 users surveyed report regularly using product first 2 weeks postlaunch,1,17
product shall easy use 90 users able successfully reserve conference room within 5 minutes product use,1,16
product shall give users feedback necessary 80 users surveyed report product accurately confirms actions,1,14
employee able successfully use product within minutes informally navigating product less 15 minutes users shall able successfully setup meetings reserve conference rooms,1,22
response shall fast enough avoid interrupting users flow thought 90 tasks shall complete within 5 seconds 98 tasks shall complete within 8 seconds,1,23
product shall create exception log problems encountered within product transmission company analysis resolution,1,13
product shall capable handling 1 000 concurrent requests number increase 2 000 release 2 concurrency capacity must able handle peak scheduling times early morning late afternoon hours,1,27
product shall able process 10 000 transactions per hour within two years launch number increase 20 000 release 2,1,19
product must able interface html browser product shall transmit data user product without problems product shall display html properly 80 html browsers tested minimum test 8 browsers,1,27
product must able interface various database management systems product shall communicate successfully database management system 100 transactions,1,17
product must able interface various email servers product shall able send email,1,12
new user must able added system within 10 minutes 90 new users able log system within 10 minutes,1,18
product must designed using design patterns coding best practices 90 maintenance software developers able integrate new functionality product 2 working days,1,21
product must highly configurable use various database management systems end users 80 end users able integrate new database management systems product without changing products software code,1,26
maintenance releases offered customers year releases shall take longer 5 minutes 80 customer base install,1,15
every registered user access products support site via internet 70 registered users shall find solution problem within 5 minutes using support site,1,22
customer shall able easily integrate new building maps product throughout products lifecycle integration new maps product shall possible little support product support staff,1,23
product shall translated foreign languages target market countries languages future releases emerging target market shall take 5 days configure product markets language,1,22
product expected integrate multiple database management systems product operate oracle sql server db2 mysql hsql ms access,1,17
product shall ensure company employees external users companyapproved user ids may product access 100 logons shall either company employees external users companyapproved user ids,1,24
managers able perform search queries reservations user 100 search queries reservations user shall logons management logons,1,16
product shall ensure databases data corresponds data entered user conference room reservation system contain information entered user,1,17
product shall prevent input malicious data product andor adjacent hardwaresoftware systems data shall remain 100 uncorrupted time malicious data input product,1,21
product andor dependent databasesfilesystems shall remain operational result input malicious data product andor dependent databasesfilesystems shall crash 100 time malicious data input product,1,23
product shall ability receive automatic software updates new threats emerge 100 customers able receive automatic software updates transmitted installed product,1,20
language product shall accommodate target market countries 90 survey respondents target market country find language product acceptable,1,17
product shall able display calendar dates times according users locale 90 survey respondents target market country find date time formatting product correct,1,22
product must developed j2sej2ee programming language libraries,1,7
product shall record meeting entries,0,5
product notify employees meeting invitations,0,5
product shall ability send meeting reminders employees,0,7
product record meeting acknowledgements,0,4
product shall store new conference rooms,0,6
product shall update existing conference rooms,0,6
product able delete conference rooms,0,5
product shall able store new room equipment,0,7
product update existing room equipment,0,5
product shall able delete room equipment,0,6
time conference room reserved conference room schedule shall updated reflect time date reservation,0,13
product shall record transportation status equipment reserved,0,7
product shall display map company building showing conference room locations,0,10
product shall record updated meeting agendas,0,6
product shall send meeting confirmation meeting organizer,0,7
product shall display room equipment according search parameters,0,8
product shall display conference rooms according search parameters,0,8
product shall record different meeting types,0,6
product shall record equipment reserved,0,5
product shall notify building personnel equipment transport requests,0,8
product shall able send meeting notifications via different kinds enduser specified methods,0,12
product shall customizable look feel,0,5
product shall intuitive user interface,0,5
product display available status unreserved conference rooms,0,7
system shall maintain consistent security changes user passwords andor permissions take affect parts system,1,14
system shall granularly control access rights major subsystems possible assign access rights subsystems independently,1,14
system shall meet applicable accounting standards final version system must successfully pass independent audit performed certified auditor,1,17
system shall allow generation inventory quantity adjustment documents demand,0,9
system shall allow demand generation inventory quantity adjustment documents since certain point time,0,13
iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredients accordingly,0,13
system shall allow entering storing modifying product formulas,0,8
product formulas shall allow use semiproducts formulas,0,7
product formula ingredients shall allow defining substitutionary ingredients,0,8
product formula substitutionary ingredients shall entered automatically pfe subsystem,0,9
formula substitutionary ingredients shall kept persisted order,0,7
product shall allow entering storing modifying product menus used pos terminals,0,11
pme subsystem shall allow building product menus based list products kept accounting system,0,13
pme subsystem shall allow keeping submenus within menus products within submenus managed persisted order,0,14
pme subsystem shall allow product exist one submenu,0,8
rms system shall windows xp look feel use gui futures making use intuitive,0,13
system shall generate inventory quantity adjustment document based product daily sales data product formulas,0,14
system shall generate inventory quantity adjustment document automatically daily product sales data available,0,13
administrator shall able activate prepaid card via administration section 5 seconds,1,11
customer shall able check status prepaid card entering pin number 5 seconds,1,12
system shall let customers register website pay go user 5 minutes,1,11
system shall let customers register website unlimited movie subscriber user 10 minutes,1,12
system shall let existing customers log website email address password 5 seconds,1,12
system shall let customers cancel account process shall take longer 2 minutes database mark account inactive user able log website,1,20
system shall let administrator deactivate customer account 1 minute customer longer able access website,1,14
system shall let administrator addremove movies website 5 minutes entered movie information stored database available website,1,16
system shall let administrator addremove categories website 5 minutes,1,9
system shall let izogn manager access sales usage statistics 2 minutes,1,11
system shall let administrators generate unique prepaid pins 2 minutes generate excel file generated pins,1,15
website shall attractive audiences website shall appear fun colors bright vibrant,1,11
website african feel alienate nonafricans website use animation pages describing services grab users attention encourage sign,1,16
users navigate maximum 4 pages create account website,1,8
users able access streaming movies 2 clicks logging website,1,9
anonymous survey show 70 customers comfortable purchasing streaming movies 2 weeks using website,1,13
anonymous survey show 95 customers comfortable using purchasing prepaid cards month using system,1,13
product shall retain customers buying preferences information,1,7
product shall easy customers novice skills internet purchase watch streaming movies customers able purchase watch predetermined movie 3 minutes,1,19
streaming movie buffering time take longer 10 seconds plus latency users connection,1,12
streaming movie buffering occur latency users connection,1,7
credit card information secured server accessible authorized izogn administrators information encrypted database,1,12
website shall continue operate streaming server goes,1,7
website shall continue operate payment gateway goes,1,7
must able interface following browsers ie 5x 60 netscape 6x 7x 8x firefox 10,1,14
izogn administrator must able update category listings website within 2 minutes,1,11
izogn administrator must able add new products website within 2 minutes,1,11
customer stream movie purchased within 2 day viewing period,1,9
authorized personnel access customer records database,1,6
administrators activate prepaid card,1,4
authorized personnel access sales information,1,5
website shall prevent data corrupted incorrect data entered,1,8
website shall protect intentional abuse notify administrator occurrences,1,8
data integrity scripts run weekly basis verify integrity database,1,9
website shall make user aware information practices collection data via privacy policy accessible pages website,1,15
system shall notify customers changes information policy,1,7
system shall reveal private information compliance organizations information policy,1,9
customer information stored secure database accessible authorized personnel,1,8
credit card information encrypted database,1,5
streaming server antivirus software prevent infection malicious viruses,1,8
shall able stream purchased movie via windows media player 2 days aftere purchase date,0,14
system shall automatically update main page website every friday show 4 latest movies added website,0,15
system shall allow users update billing contact information via account section website,0,12
prepaid cards shall distributed via email via printed paper card,0,10
registered customer information shall stored maintained database even customer cancels account,0,11
leads process longer 25 seconds system record event duration,1,9
defect reports available technical units 24x7 basis,1,7
vendor verify invalid lead,0,4
lead scored high range system supply lead data score enterprise system,0,11
leads washing functionality validate leads received web service valid data,0,10
leads washing functionality insert leads captured web service,0,8
leads score falls within high average score process ara functionality,0,10
leads score falls within medium average set manual verification enrollment coordinator eleads system,0,13
leads score falls within low average returned supplying vendor,0,9
leads washing functionality compile contact academic scoring information total score,0,10
leads washing functionality use parameters supplied corporate schools score part lead,0,11
leads washing functionality return lead data supplied vendor along reason rejection,0,11
leads washing functionality interface lead data parameters maintained,0,8
leads washing functionality store potential lead duplicates returned enterprise system,0,10
prior submitting lead enterprise system leads washing functionality assign lead admissions rep,0,12
leads washing functionality shall receive period list available reps enterprise system,0,11
response time shall fast enough maintain flow game response time shall 2 seconds 95 responses 4 remaining responses,1,18
product shall protect identity players product shall provide players access information might reveal identity another player,1,16
product shall intuitive selfexplanatory nine ten users shall able successfully complete game training,1,13
product shall available players understand english spanish french product shall allow user select language upon accessing product,1,17
product shall provide players access information might reveal identity another player,1,11
product shall maintain list players,0,5
game initiated product shall make players assigned game unavailable selection list players,0,12
product shall make inactive players unavailable selection list players,0,9
product shall remove players inactive 24 hours list players,0,9
turn product shall identify one player offensive status one player defensive status,0,12
product shall maintain status player turn either offensive defensive,0,9
shot product shall examine defensive grid defensive player determine whether shot hit miss,0,13
shot product shall notify players whether shot hit miss,0,9
shot product shall mark shot hit miss defensive grid defensive player,0,11
shot product shall mark shot hit miss offensive grid offensive player,0,11
hit results sinking ship product shall notify players ship sunk,0,10
hit results sinking ship product shall mark ship sunk defensive grid defensive player,0,13
hit results sinking ship product shall indicate type ship sunk defensive grid defensive player,0,14
hit results sinking ship product shall mark ship sunk offensive grid offensive player,0,13
shot marked miss product shall change status offensive player defensive,0,10
shot marked miss product shall change status defensive player offensive,0,10
product shall continue assign turns game ended,0,7
product shall end game hit offensive player results sinking last defensive players ships previously marked sunk,0,16
notification game ending include reason game ended ie player game player ended game,0,13
system shall easy use callers supervisors callers supervisors must able accomplish system task within 2 minutes,1,16
system shall easy learn callers supervisors callers supervisors shall learn use system within 10 minutes,1,15
system shall responsive depaul teleservices center supervisor uses system view callers schedule system response time must 2 seconds 90 time 5 seconds rest time,1,24
system shall high availability every day yearthe system must available use 1200am 600pm days year,1,15
product shall internet browser independentthe product must run using internet explorer netscape navigator,1,13
product shall ensure supervisors advertise empty time slotsthe product must ensure supervisors allowed access advertise empty time slots,1,18
product shall ensure supervisors enter callers schedulethe product must ensure supervisors allowed access advertise empty time slots,1,17
product shall ensure supervisors view schedule callersthe product must ensure supervisors allowed access advertise empty time slots,1,17
interface shall simple look interface usability survey 90 beta testers must report interface adequately simple,1,15
interface shall appealing callers supervisors interface usability survey 80 beta testers must report interface appealing,1,15
product shall provide gui based monitoring servicessystem administrators shall monitor message exchanges predict determine problems also provide internal external support,1,20
product shall comply city chicago application development guide frameworkapplication development framework provide structured graphical user interface,1,16
product shall provide monitoring servicesthe product shall easy system administrators dbas use two weeks usage,1,15
product shall provide error tracking servicesthe product shall help system administrators dbas resolve transaction errors 99 time,1,17
product shall provide portalsthe product shall help system administrators analyze transactions adhoc reporting kpis key performance indicators,1,17
product shall provide asynchronous messagingthe product shall provide asynchronous messaging enable parallel processing reduce overhead communications,1,16
product shall provide multithreading load balancingthe product shall provide multithreading technology well load balancing overcome data load spikes traffic,1,19
product shall process messages within 2 secondsthe product shall maximum message processing time 2 seconds,1,15
product shall poll system messages every secondthe product shall poll system new messages maximum every 1 second,1,17
product shall provide dynamic change support transparent resource additionthe product shall support transparent resource addition dynamic change support provide scalability avoid service interruptions 1 day,1,25
product shall available 99 time rationale avoid service interruption busiest customer service response periods product shall available 9999 time regular business days,1,22
product shall robustthe product shall fault avoidance based standards adoption,1,10
product shall robust fault tolerancethe product shall fault tolerance using recovery technique compensatory transaction routing around failures,1,17
product shall able process transactionsthe product shall process minimum 1 million transactions per year,1,14
product shall platform independentthe product shall enable access type development environment platform,1,12
product shall interface csr datastreamthe product shall exchange messages csr eam real time basis without direct interfaces two systems,1,19
product shall continue operate upgrade change new resource additionthe product shall able continue operate interruption service due new resource additions,1,20
product shall updated regular basisthe product new major feature introduced every six months quarterly maintenance releases every six months,1,19
product shall operate every platformthe product shall accommodate new technology without change architecture,1,13
product shall securitythe product shall provide authentication authorization,1,8
product shall information security product shall enable privacy encryption wssecurity integrity checking,1,12
product shall audit capabilitiesthe product shall store messages minimum one year audit transaction tracking purposes,1,15
system shall use ibm ccr branding standards interface must one ibm logo one ccr logo,1,15
system shall displayable work computer ccr user may system interface shall formatted display 800 600 pixel resolution,1,17
system interface use ccr nomenclature system must use nomenclature used existing wcs system reports,1,14
interface must summarize data fashion thats appealing ccr management every report type must least one high level summary shown results dashboardinterface,1,21
system must use point click interface 100 selection navigation functionality must able activatedselected either mouse keyboard,1,16
interface shall easy use 90 users able successfully use system generate report first use interface adhere ibm usability standards,1,19
rreports must easy generate eports must generated within one button click exported within one button click selecting report,1,18
user shall able use system without instruction short amount time one use user understand remember 90 system usage navigation,1,19
ccr users shall receive training wcs system deployed one training session held 100 ccr users system deployment based ccr user available,1,21
wcs system shall use appropriate nomenclature terminology defined corporate community grants organization interfaces reports undergo usability tests ccr users,1,19
wcs system shall available times long ibms internal intranet w3 accessible wcs system available 95 time ibms internal intranet w3 available,1,21
wcs system shall run windows environment wcs shall accessed users internet ibm computer running windows 2000 operating system,1,18
brio portion wcs system must able export files spreadsheet form microsoft excel lotus 123 formats brio provide buttons user interface produceexport reports xls 123 file formats,1,26
wcs system must run queries wcs databases specified day update available data available ccr users queries must made external databases data refresh week,1,23
changes updates additions wcs system shall updated wcs developer wcs user guides every change must reflected wcs system documentation,1,19
system shall accessed authorized corporate community grants ccr employees users must authenticated using ibm intranet user name password,1,18
wcs system shall allow automatic logins user cookies containing wcs login information user stored users computer,1,16
team owner need use username password order authenticated reach team owners page,1,12
commissioner authorized user per league adjust league settings,1,8
message board shall contain 5 recently posted messages league page messages contain first 150 characters message,1,16
users shall able reach add drop trade player pages one click team owners page,1,14
users shall able view least 25 nfl player statistics points page,1,11
disputes application shall available 24x7x365 exception following scheduled maintenance windows monday saturday 300am 400am est sunday 100amd 500am est,1,19
disputes application shall interface statement database statement database provides transaction details disputes system transaction details must obtained statement database,1,19
system shall achieve 95 time,1,5
product shall operate offline mode whenever internet connection unavailable,1,9
product shall capable handling existing 1000 users number expected grow 5 times within next year,1,15
registered realtors shall able access system,1,6
every user system shall authenticated authorized,1,6
product shall prevent data incorrect data introduced,1,7
system shall allow real estate agent query mls information,0,9
user shall able get driving directions selected property,0,8
system shall display clear property images search results,0,8
system shall able handle user requestsusage business hours,1,8
system shall expected manage nursing program curriculum classclinical scheduling minimum 5 years,1,12
system shall used within specifications defined computers used program administratorsnursing staff members,1,12
realtor shall notified new client appointments automatic synchronization office system,0,10
system shall easy use program administratorsnursing staff members,1,8
system shall intuitive program administratorsnursing staff members,1,7
2 3 program administratorsnursing staff members shall successfully able use system manage scheduling classes clinicals,1,15
system shall interface campusconnects central server,1,6
authorized users shall access clinical site information,1,7
program administratorsnursing staff members people shall access clinical site details,1,10
authorized users shall access students personal information,1,7
dr susan poslusny dr julie donalek people shall access students personal information,1,12
authorized users shall access portion system interfaces campusconnect,1,8
fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interfaces campusconnect,1,17
system shall basic data integrity checking reduce possibility incorrect invalid data introduced,1,12
system shall protect private information accordance organizations information policy,1,9
system shall built secure possible malicious interference,1,7
system shall use organizations standard virus protection software help monitor threats,1,11
cohort shall associated one program study offered department,0,8
students added cohort shall eligible cohorts program study,0,8
system shall display data sync matrix 10 exercise management tool 10 applications,0,12
system shall link events back either sync matrix 10 exercise managment tool 10 applications modifications,0,15
system shall allow modification display,0,5
system shall offer display events exercise,0,6
system shall filter data venues key events,0,7
system shall allow user define time segments,0,7
system shall display local exercise time separate clocks,0,8
system shall offer ability pause resume refresh data,0,8
system shall provide charts activity event actual versus assumed time,0,10
rfs system available 247 especially budgeting period rfs system shall available 90 time year 98 budgeting period 2 time system become available within 1 hour time situation reported,1,28
98 user workstations shall meet minimum hardware requirements prior implementation minimum hard disk space 400mb,1,15
98 user workstations shall meet minimum software requirements prior implementation microsoft internet explorer 50 microsoft net framework 11 microsoft internet explorer web controls,1,23
rfs system able easily interface bdw environment order load data 7 data files shall received bdw loaded rfs system within 3 hours one day prior start budgeting process every year data october monthend test files 7 shall loaded 5 times throughout year bdw,1,43
changes revenue expense formulae must applied rfs system every year prior budgeting process start revenue expense formulae updated within one week receipt 2 weeks allotted testing budget calculations conducted jointly project development team pcg finance,1,35
new branchescomplexesdistrictsregions revenueexpense accounts added bdw must reflected rfs system 100 entities mentioned available october monthend loaded rfs system prior budget start process,1,23
authorized user shall access rfs system users exist uas system rfs system assigned roles shall access rfs system use,1,19
user access limited permissions granted roles level pcg hierarchy assigned role users assigned roles access functionality within rfs system dependent privilegespermission assigned role,1,23
product must comply intranet page standards requirements enet securities 95 product look feel approved architecture group prior implementation remaining 5 corrected approved within one month product release,1,27
intranet pages display appropriately resolutions 800x600 higher display pages correct 95 resolutions prior implementation remaining 5 corrected within week notification incorrect display,1,22
users able easily use system successfully complete budgets within stipulated time completion week training prior product implementation 98 users shall complete budgets within stipulated time,1,25
product interface fast response time product interface exceed 2 seconds 90 time 10 time response time 10 secondsnot 10 seconds,1,20
system use stored email addresses primary means communicating information affected parties,0,11
system notify affected parties routine communication purposes including limited informing students upcoming offered classes timeline schedule beshall,0,17
system notify affected parties changes occur affecting clinicals including limited clinical section capacity changes clinical section cancellations,0,17
system notify affected parties changes occur affecting classes including limited class cancellations class section detail changes changes class offerings given quarter,0,21
product shall interface choiceparts system per day approximately 1,1,9
product look feel shall able incorporate aspects customer organization logo branding identity,1,12
response shall fast enough avoid interrupting user flow thought 90 tasks shall complete within 5 seconds 98 tasks shall complete within 8 seconds,1,23
product must highly configurable use various database management systems end users 80 end users able integrate new database management systems product without changing product software code,1,26
every registered user access product support site via internet 70 registered users shall find solution problem within 5 minutes using support site,1,22
customer shall able easily integrate new building maps product throughout product lifecycle integration new maps product shall possible little support product support staff,1,23
product shall translated foreign languages target market countries languages future releases emerging target market shall take 5 days configure product market language,1,22
product shall ensure database data corresponds data entered user conference room reservation system contain information entered user,1,17
product shall able display calendar dates times according user locale 90 survey respondents target market country find date time formatting product correct,1,22
product shall retain customer buying preferences information,1,7
streaming movie buffering time take longer 10 seconds plus latency user connection,1,12
streaming movie buffering occur latency user connection,1,7
must able interface following browsers,1,5
system shall reveal private information compliance organization information policy,1,9
product shall end game hit offensive player results sinking last defensive player ships previously marked sunk,0,16
system shall high availability every day yearthe system must available use 12,1,12
system must available use 7,1,5
product shall ensure supervisors enter caller schedulethe product must ensure supervisors allowed access advertise empty time slots,1,17
product shall available 99 time rationale,1,6
interface must summarize data fashion appealing ccr management every report type must least one high level summary shown results dashboardinterface,1,20
wcs system shall available times long ibm internal intranet w3 accessible wcs system available 95 time ibm internal intranet w3 available,1,21
wcs system shall allow automatic logins user cookies containing wcs login information user stored user computer,1,16
team owner need use username password order authenticated reach team owner page,1,12
users shall able reach add drop trade player pages one click team owner page,1,14
disputes application shall available 24x7x365 exception following scheduled maintenance windows monday saturday 3,1,13
system shall interface campusconnect central server,1,6
fit criterion,1,2
system shall protect private information accordance organization information policy,1,9
system shall use organization standard virus protection software help monitor threats,1,11
students added cohort shall eligible cohort program study,0,8
system shall filter data,0,4
98 user workstations shall meet minimum hardware requirements prior implementation minimum hard disk space,1,14
98 user workstations shall meet minimum software requirements prior implementation,1,10
feature application shall provide optimized route given addresses,0,8
feature provides user select optimized route addresses given fixing path desired locations,0,12
fast internet connection mandatory would increase performance application,1,8
every user request new maps needed loaded,0,7
google maps api used application mandatory abide terms use specified google,1,11
installing application itunes app store user asked login,0,8
upon successful login user select following catalogue options spring 2013 winter 2013,0,12
based selection product categories listed outerwearsoft shellfleeceknitswovensactive wear safetyaccessoriesteam wear eco collection,0,12
category selected product thumbnail images appear selection,0,7
user select product view details,0,5
detail page contain features information website,0,6
user either proceed call rep order proceed online checkout process,0,10
upon successful login user select following catalogue options use search function indicated search icon top right hand corner application,0,19
icon selected two open text field available user search product name product idsku keyword,0,14
following successful query search feature query application database display search results following unsuccessful query search feature display error message matches found,0,21
user select desired product results proceed product details,0,8
upon successful login user select following catalogue options search use sub navigation find following items catalogue videoscontact us,0,18
user select download catalogue pdf viewed mobile device,0,8
user select videos 360 video list display upon selecting video play device,0,12
users shall able zoom images using standard gestures mobile devices,0,10
users able view next product swiping left right,0,8
users able go back product category page via back button top corner,0,12
users able search keyword product id,0,6
users able navigate using sub navigation icons access catalogue pdf 360 videos contact rep representative,0,15
application minimal logic little issues computation required phone,0,8
hazard user using device driving,0,5
application must able link internal system order users properly log identified,1,11
information must kept secure,1,4
data entry much difficult actual computer,1,6
application phone portability also important dont want take much space slow causing users able fit device,1,16
user fills necessary fields activation mail sent users mail address,1,10
user able log start using system activating hisher account,1,9
user enters hisher username email hisher password logs system,0,9
user touches log button logs system user use system heshe logs,0,11
user able search items user search items according price location category,0,11
user able browse profiles users user see users user names profile photos users items,0,14
user able browse categories according hisher wishes user also see many items category,0,13
user able browse items user see items pictures prices features,0,10
user changes hisher username password notification mail sent users email address,0,11
changes apply user clicks link email,0,6
user buy credits system heshe use credit card hisher paypal account,0,11
user add items heshe likes cart touching add cart button,0,10
item user wants available exchange user request exchange items heshe item heshe wants,0,13
user approve exchange offered another user clicking approve button,0,9
user decline exchange offered another user clicking decline button,0,9
user notifies user shipment item started,0,6
user add many items heshe wants,0,6
user also set price set amount upload pictures item add details item,0,12
user edit items heshe already put system user addremove pictures change price details item,0,14
user longer wishes sellexchange item heshe remove item system touching remove item button,0,13
user longer wishes use system heshe click delete profile button deleting profile user longer able use system account details entered,0,20
user mark item favorite notified change made item,0,8
user rate comment users traded,0,5
10000 users able use system time,0,6
response time system 2 seconds,0,5
search form added home page,1,5
sites added correctly search engine,1,5
build search engine based search form sites available,0,8
user able search site name description,0,6
system self capable feature auto suggest,0,6
system able return search results desending order form list links sites,0,11
system able display results found case search results found,0,9
system link back home case results found,0,7
geolocation feature able find user,0,5
use geolocation scripts locate user,0,5
check user within 1 mile campus,0,6
user within 1 mile campus update location,0,7
user permission use location service,0,5
user denies user location service prompt user home screen,0,9
user allows location service create user,0,6
system unable update location show failure msg return user home page,0,11
update page link sites nearby,0,5
build ajax response update home page link nearby site based user location,0,12
application respond list links 3 nearest sites az sorted name,0,10
application respond sites placed map markers includes name description link site page,0,12
application distance calculations geolocation information usersite nearby sites,0,8
user clicks links browse sites home page system respond list links sites az sorted site name,0,16
application collect list sites sorted name,0,6
application build url sites page,0,5
user clicks link map sites home page application respond campus map historical sites placed,0,14
historical site marker site placed map include name shorten description link site page,0,13
sites page contain link walking directions tour,0,7
application respond list thumbnail images site listed oldest newest year,0,10
case image available application return image flag,0,7
user clicks thumbnail image sites page application replace sites image medium sized clicked image,0,14
application replace sites description clicked image description,0,7
user clicks main image sites page application return enlarged version image,0,11
user clicks link walking tour application respond walking tour page,0,10
user clicks link application respond page,0,6
personal data user stored,0,4
user location information deleted nightly via cron job,0,8
project admins need authorized use admin interface manage sites project,1,10
standard web security measure implemented,1,5
