sentence,label
the search radius shall be between 1 and 30 miles,0
the system shall locate the preferred repair facility with the highest ratings for the input criteria,0
the adjuster shall enter the preferred repair facility on the estimate assignment,0
the adjuster shall be able to override the preferred repair facitlity on the estimate assignment,0
the preferred repair facility shall be returned to the user,0
the system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined,0
the estimator shall search for available recycled parts using damaged vehicle parts information,0
the estimator shall search for available recycled parts using a list of preferred parts suppliers,0
the system shall search for available recycled parts for the supplied vehicle parts and suppliers,0
the estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,0
the system shall retain the available recycled parts and suppliers returned from the search,0
the available recycled parts information and their suppliers shall be returned to the user,0
the estimator shall apply selected recycled parts to the collision estimate,0
the estimator shall not apply recycled parts to the collision estimate if no available parts are returned,0
the adjuster shall review the collision estimate,0
the adjuster shall request a recycled parts audit of the collision estimate,0
the recycled parts search results provided to the estimator shall be retrieved by the system,0
the system shall generate an audit report based on the available recycled parts and the collision estimate,0
the audit report shall include the total number of recycled parts used in the estimate,0
the audit report shall include the number of available recycled parts from the original search results,0
the audit report shall include the percentage of available recycled parts used in the estimate,0
the audit report shall include the total score of the audit which sums the indivual line items,0
the audit report shall be displayed to the user,0
the audit report shall be available to other adjusters at later points in time,0
the user shall select to view the preferred repair facility ratings,0
the current repair facility ratings shall be displayed to the user,0
the system will display a blank set of ratings if there are not ratings yet defined,0
the user shall enter new ratings based on the audit report,0
the ratings shall be from a scale of 110,0
the ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,0
the user shall select to save the preferred repair facility ratings,0
the preferred repair facility ratings shall be saved by the system,0
the product must work with most database management systems dbms on the market  whether the dbms is colocated with the product on the same machine or is located on a different machine on the computer network,1
the product will function alongside server software on any operating system where the java runtime can be installed,1
the product will require collaboration with a database management system dbms  the dbms may be located on the same machine as the product or on a separate machine residing on the same computer network,1
the product must make use of webapplication server technology  open source examples include apache web server  tomcat  and the jboss application server,1
a database management system such as oracle  db2  mysql or hsql will need to be integrated with the product,1
the products look and feel shall be able to incorporate aspects of the customers organization such as logo  branding  and identity,1
the product shall have a conservative and professional appearance,1
the product shall make the users want to use it 80 of the users surveyed report they are regularly using the product after the first 2 weeks postlaunch,1
the product shall be easy to use 90 of users will be able to successfully reserve a conference room within 5 minutes of product use,1
the product shall give users feedback when necessary 80 of the users surveyed report that the product accurately confirms their actions,1
the product shall allow the user to select a chosen language from one of the target market countries,1
the product shall allow for customization of start page and views preferences,1
an employee will be able to successfully use the product within a few minutes  after informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms,1
the product shall use a standard navigation menu familiar to most web users,1
the product shall allow for intuitive searching of available conference rooms,1
the product shall conform to the americans with disabilities act,1
the response shall be fast enough to avoid interrupting the users flow of thought  90 of tasks shall complete within 5 seconds  98 of tasks shall complete within 8 seconds,1
aside from server failure  the software product shall achieve 9999 up time,1
the product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution,1
the product shall be capable of handling up to 1 000 concurrent requests  this number will increase to 2 000 by release 2  the concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours,1
the product shall be able to process 10 000 transactions per hour within two years of its launch  this number will increase to 20 000 by release 2,1
the product shall be expected to operate for at least 5 years for each customer installation,1
the product shall be used in office environments,1
the product must be able to interface with any html browser  the product shall transmit data between the user and the product without problems the product shall display html properly in 80 of all html browsers tested minimum is to test 8 browsers,1
the product must be able to interface with various database management systems the product shall communicate successfully with the database management system on 100 of all transactions,1
the product must be able to interface with various email servers the product shall be able to send email,1
the product shall be available for distribution via the internet as a binary or zip file,1
the product shall be available for distribution as a packaged cd,1
the product will be available for licensing as a oneserver  twofive servers  or fiveormore servers license,1
a new user must be able to be added to the system within 10 minutes  90 of new users are able to log into the system within 10 minutes,1
the product must be designed using design patterns and coding best practices  90 of maintenance software developers are able to integrate new functionality into the product with 2 working days,1
the product must be highly configurable for use with various database management systems for the end users  80 of end users are able to integrate new database management systems with the product without changing the products software code,1
maintenance releases will be offered to customers once a year  the releases shall take no longer than 5 minutes for 80 of the customer base to install,1
every registered user will have access to the products support site via the internet  70 of registered users shall find a solution to their problem within 5 minutes of using the support site,1
the customer shall be able to easily integrate new building maps with the product throughout the products lifecycle  integration of new maps with the product shall be possible with little to no support from product support staff,1
the product shall be translated into foreign languages other than the target market countries languages in future releases  for each emerging target market  it shall take no more than 5 days to configure the product for that markets language,1
the product is expected to integrate with multiple database management systems  the product will operate with oracle  sql server  db2  mysql  hsql  and ms access,1
the product shall be able to be installed in any operating environment within 2 days,1
the product shall ensure that only company employees or external users with companyapproved user ids may have product access  100 of all logons shall be by either company employees or external users with companyapproved user ids,1
only managers are able to perform search queries for reservations by user  100 of all search queries for reservations by user shall be from logons of only management logons,1
the product shall ensure that the databases data corresponds to the data entered by the user  each conference room reservation in the system will contain the same information as was entered by the user,1
the product shall prevent the input of malicious data  the product andor adjacent hardwaresoftware systems data shall remain 100 uncorrupted each time malicious data is input into the product,1
the product andor dependent databasesfilesystems shall remain operational as a result of the input of malicious data  the product andor dependent databasesfilesystems shall not crash 100 of the time that malicious data is input into the product,1
the product shall have the ability to receive automatic software updates as new threats emerge  100 of customers will be able to receive automatic software updates transmitted to the installed product,1
the language of the product shall accommodate all of the target market countries 90 of survey respondents from each target market country will find that the language of the product is acceptable,1
the product shall be able to display calendar dates and times according to the users locale  90 of survey respondents from each target market country will find that the date and time formatting of the product is correct,1
the product must be developed with the j2sej2ee programming language libraries,1
the product shall record meeting entries,0
the product will notify employees of meeting invitations,0
the product shall have the ability to send meeting reminders to employees,0
the product shall assign the organizers contact information to each meeting they create,0
the product will record meeting acknowledgements,0
the product shall store new conference rooms,0
the product shall update existing conference rooms,0
the product will be able to delete conference rooms,0
the product shall be able to store new room equipment,0
the product will update existing room equipment,0
the product shall be able to delete room equipment,0
the product shall allow an organizer to invite other employees to meetings,0
each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation,0
the product shall record the transportation status of equipment reserved,0
the product shall display a map of the company building showing conference room locations,0
the product shall record updated meeting agendas,0
the product shall send a meeting confirmation to the meeting organizer,0
the product shall display room equipment according to search parameters,0
the product shall display conference rooms according to search parameters,0
the product shall record different meeting types,0
the product shall record all the equipment that has been reserved,0
the product shall notify building personnel of equipment transport requests,0
the product will allow priviledged users to view meeting schedules in multiple reporting views,0
the product shall be able to send meeting notifications via different kinds of enduser specified methods,0
the product shall have a customizable look and feel,0
the product shall have an intuitive user interface,0
the product will display an available status for unreserved conference rooms,0
recreation of inventory quantity adjustment for the period of previous 30 days shall take no more than 30min,1
the system shall allow for a minimum of  6 users to work at the same time,1
the system shall utilize currently owned computer equipment,1
the system shall be able to automatically backup business data and restore them on demand,1
the system shall maintain consistent security  any changes in user passwords andor permissions should take affect in all parts of the system,1
the system shall granularly control access rights to all major subsystems  it should be possible to assign access rights to all subsystems independently,1
the system shall meet all applicable accounting standards  the final version of the system must successfully pass independent audit performed by a certified auditor,1
the system shall not require additional third party licenses resulting in royalty fees,1
the system shall allow generation of inventory quantity adjustment documents on demand,0
the system shall allow on demand generation of all inventory quantity adjustment documents since certain point of time,0
the iqa subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly,0
the system shall allow entering  storing and modifying product formulas,0
product formulas shall allow use of semiproducts  which have own formulas,0
product formula ingredients shall allow defining substitutionary ingredients,0
product formula substitutionary ingredients shall be entered automatically by the pfe subsystem,0
formula substitutionary ingredients shall be kept in persisted order,0
product shall allow entering  storing and modifying product menus used by pos terminals,0
pme subsystem shall allow building product menus based on the list of products kept in the accounting system,0
pme subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order,0
pme subsystem shall allow for a product to exist in more than one submenu,0
the rms system shall have windows xp look and feel and use gui futures making its use intuitive,0
the system shall generate inventory quantity adjustment document based on product daily sales data and product formulas,0
the system shall generate inventory quantity adjustment document automatically when daily product sales data is available,0
administrator shall be able to activate a prepaid card via the administration section in under 5 seconds,1
customer shall be able to check the status of their prepaid card  by entering in the pin number  in under 5 seconds,1
system shall let customers register on the website as a pay as you go user in under 5 minutes,1
system shall let customers register on the website as a unlimited movie subscriber user in under 10 minutes,1
system shall let existing customers log into the website with their email address and password in under 5 seconds,1
system shall let customers cancel their account  process shall take no longer than 2 minutes  database will mark the account as inactive  and user will not be able to log into the website,1
system shall let administrator deactivate a customer account in under 1 minute customer will no longer be able to access the website,1
system shall let administrator addremove movies on the website in under 5 minutes  entered movie information will be stored in the database and will now be available on the website,1
system shall let the administrator addremove categories on the website in under 5 minutes,1
system shall let izogn manager access sales and usage statistics in under 2 minutes,1
system shall let administrators generate unique prepaid pins in under 2 minutes and generate an excel file with the generated pins,1
the website shall be attractive to all audiences  the website shall appear to be fun and the colors should be bright and vibrant,1
the website should have an african feel  but should not alienate nonafricans  the website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up,1
the website design should be modern  clean  and concise,1
the product should be able to be used by 90 of novice users on the internet,1
users should only have to navigate through a maximum of 4 pages  to create an account with the website,1
users should be able to access their streaming movies in under 2 clicks after logging into the website,1
an anonymous survey will show that 70 of customers are comfortable purchasing streaming movies after 2 weeks using the website,1
an anonymous survey will show that 95 of customers are comfortable using and purchasing prepaid cards after a month of using the system,1
the product shall retain the customers buying preferences and information,1
the product shall be easy for customers with novice skills on the  internet to purchase and watch streaming movies  customers should be able to purchase and watch a predetermined movie in under 3 minutes,1
the product shall use symbols and words that are naturally understandable by users familiar with websites,1
the website will use standard internet conventions when interacting with the user,1
any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below,1
when purchasing a streaming movie or prepaid card via credit card  the processing time should have a maximum response time of 15 seconds,1
when streaming a movie  the buffering time should take no longer than 10 seconds plus any latency on the users connection,1
while streaming a movie  buffering should only occur if there is latency in the users connection,1
all credit card information will be secured on the server  and only accessible by authorized izogn administrators  information will be encrypted in the database,1
the website shall be available for use 24 hours per day  365 days per year,1
the website shall achieve 995 up time,1
all movies shall be streamed on demand  at any time of the day,1
the website shall continue to operate if the streaming server goes down,1
the website shall continue to operate if the payment gateway goes down,1
the streaming server will support 50 simultaneous streaming connections,1
the streaming server will support a maximum of 700 movies new servers can be added to support more movies,1
the server will support a maximum of 1 000 simultaneous users,1
the website shall be capable of supporting 100 000 customers,1
the product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years,1
all aspects of the website shall be accessed by a web browser over the internet,1
the same hardware supporting the current website will be used to support the new system,1
we must be able to interface with the following browsers ie 5x  60  netscape 6x  7x  8x and firefox 10,1
website must interface with the cybersource api to process credit card transactions,1
website must be fully operational with msn tv2,1
movies shall be encoded and streamed via windows media player 90,1
movies shall be encoded for 56k and 256k streams,1
promotional updates to the website should take a day to update,1
izogn administrator must be able to update the category listings on the website within 2 minutes,1
izogn administrator must be able to add new products to the website within 2 minutes,1
the system will provide a 24 hour 800 toll free number for support to its customers,1
the website will provide a help section with answers and solutions to common problems,1
velkat staff will be available for phone support between 7am7pm  mf to provide technical support to the izogn administrators,1
the product shall be able to be installed in the specified environment within 1 working day,1
only registered customers can purchase streaming movies,1
a customer can only stream a movie if they purchased it  and are within the 2 day viewing period,1
only authorized personnel can access customer records in the database,1
only administrators can activate a prepaid card,1
only authorized personnel can access sales information,1
the website shall prevent its data from being corrupted when incorrect data is entered in,1
the website shall protect itself from intentional abuse  and notify the administrator at all occurrences,1
data integrity scripts will be run on a weekly basis to verify the integrity of the database,1
the website shall make its user aware of its information practices before collection data from them via a privacy policy  accessible on all pages of the website,1
the system shall notify customers of changes to its information policy,1
the system shall reveal private information only in compliance with the organizations information policy,1
all customer information will be stored on a secure database  accessible only to authorized personnel,1
all credit card information will be encrypted in the database,1
the streaming server will have antivirus software to prevent infection of malicious viruses,1
the website should cater to all tribes in nigeria,1
the website shall not be offensive to religious or ethnic groups,1
the website should appeal to all africans  not only nigerians,1
the website should use flash to provide animation on the home page,1
izognmovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream african movies,1
the website will comply with w3c standards,1
the php code will comply with pear standards,1
the website will allow customers to search for movies by title  actor  or director,0
viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator,0
website shall request  and authorize credit card payment before allowing a user to stream a movie,0
shall be able to stream purchased movie via windows media player  for up to 2 days aftere purchase date,0
website shall allow customers to browse movies by categories entered in by izogn administrator,0
website shall allow customers to view reviews of selected movies by other customers,0
website shall allow customers to add their own movie review for a selected movie,0
website shall allow the izogn administrator to approve a review posted by a customer,0
system will allow customers to pay for a streaming movie with a prepaid card,0
website shall allow customers to purchase prepaid cards of 5  10  or 20 value either by credit card or mailin payment option,0
system shall automatically update the main page of the website every friday  and show the 4 latest movies that have been added to the website,0
system shall allow users to update their billing and contact information via the my account section of the website,0
prepaid cards shall be distributed via email  or via a printed paper card,0
only registered customers can purchase streaming movies,0
movies can only be streamed if the customer has purchased a movie  and is within the 2day time period to stream the movie,0
website must be able to support free trial periods with various parameters set by the izogn manager,0
all streaming movie sales will be logged in the database  and accessible by the administrator,0
all registered customer information shall be stored and maintained in the database  even after the customer cancels their account,0
daily usage statistics should be logged  and accessible by the administrator,0
the owner shall have free access to all of the streaming movies,0
total lead cycle time must be completed in 5 minutes for 90 of lead volume between the business hours of 8am cst to 8pm cst then 3 minutes for 99 of lead volume during off business hours,1
no lead evaluation will complete in a time period longer than 25 seconds for 97 of all leads processed,1
for leads that process longer than 25 seconds the system will record the event and duration,1
the process must fit within the processing time conditions set forth by the auto rep assignment process in which a lead is assigned within 3 minutes of the total life cycle,1
the lead washing process will operate within the established physical web service structure,1
the washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data,1
defect reports will be available to technical units on a 24x7 basis,1
washing parameters will be updated during scheduled maintenance hours,1
the vendor will verify the invalid lead,0
vendor will submit a credit validation record to be applied to the enterprise billing system,0
if a lead is scored to the high range the system will supply the lead data and score to the enterprise system,0
the leads washing functionality will validate all leads received by the web service for valid data,0
the leads washing functionality will insert all leads captured by the web service,0
if the leads score falls within the high average score then it will be process by the ara functionality,0
if the leads score falls within the medium average then it will be set for manual verification by an enrollment coordinator through the eleads system,0
if the leads score falls within the low average then it will be returned to the supplying vendor,0
the leads washing functionality will compile both contact and academic scoring information for a total score,0
the leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead,0
the leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection,0
the leads washing functionality will have an interface in which lead data parameters can be maintained,0
the leads washing functionality will verify the users authentication and rights to make parameter updates,0
the leads washing functionality will store any potential lead duplicates returned by the enterprise system,0
prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep,0
the leads washing functionality shall receive a period list of available reps from the enterprise system,0
the product shall simulate the look of ships at sea,1
the product shall display the grids within a circle as a view from a periscope,1
the product shall display each type of ship in a grid using an image of the specific type of ship,1
when the offensive player takes a shot  the product shall simulate the sound of a ship at sea,1
when a shot is marked as a miss  the product shall simulate the sound of a shot missing its target,1
when a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target,1
when a ship is sunk  the product shall simulate the sound of a sinking ship,1
the product shall be available 24 hours per day  seven days per week,1
the product shall able to handle a large number of games simultaneously,1
the response time shall be fast enough to maintain the flow of the game  the response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,1
the product shall protect the identity of the players the product shall provide players no access to information that might reveal the identity of another player,1
the product shall be intuitive and selfexplanatory  nine out ten users shall be able to successfully complete a game with no training,1
the product shall be available to players who understand english  spanish and french  the product shall allow the user to select the language upon accessing the product,1
the product shall provide players no access to information that might reveal the identity of another player,1
the response time shall be fast enough to maintain the flow of the game the response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,1
the product shall maintain a list of players,0
the product shall allow a user to identify himself or herself as a player,0
once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players,0
the product shall allow a user to remove himself or herself from the list of players at any time,0
the product shall make inactive players unavailable for selection from the list of players,0
the product shall remove players who have been inactive for 24 hours from the list of players,0
the product shall allow a player to initiate a game by selecting another available player from the list of players,0
once a game is initiated  the product shall display a defensive grid to each player,0
once a game is initiated  the product shall display an offensive grid to each player,0
the product shall prevent a player from viewing the offensive or defensive grids of the other player,0
once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids,0
the product shall allow a player to position ships horizontally on their grid,0
the product shall allow the player to position ships vertically on their grid,0
the product shall allow the player to position ships diagonally on their grid,0
the product shall prevent the player from overlapping ships on their grid,0
when both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn,0
for each turn  the product shall identify one player as offensive status and one player as defensive status,0
the product shall maintain the status of each player for a turn  either offensive or defensive,0
at the start of each turn  the product shall notify each player of his or her status,0
for each turn  the product shall allow the offensive player to define a shot,0
for each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss,0
for each shot  the product shall notify the players whether the shot was a hit or miss,0
for each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player,0
for each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player,0
when the hit results in sinking a ship  the product shall notify the players that the ship was sunk,0
when the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player,0
when the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player,0
when the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player,0
if the shot was marked as a hit  the product shall allow the offensive player to define a shot,0
if the shot was marked as a miss  the product shall change the status of the offensive player to defensive,0
if the shot was marked as a miss  the product shall change the status of the defensive player to offensive,0
the product shall continue to assign turns until the game is ended,0
the product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk,0
the product shall allow a player to end a game at any time during the game,0
when a game is ended  the product shall notify the players that the game is ended,0
the notification of the game ending will include the reason the game is ended ie  a player has won the game or a player has ended the game,0
when a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players,0
when a game is ended  the product shall allow each player to remove himself or herself from the list of players,0
the system shall be easy to use by callers and supervisors callers and supervisors must be able to accomplish any system task within 2 minutes,1
the system shall be easy to learn by callers and supervisors callers and supervisors shall learn how to use the system within 10 minutes,1
the system shall be responsive at the depaul teleservices center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90 of the time and no more than 5 seconds the rest of the time,1
on a 56k connection  the system response time for all operations must be no more than 6 seconds 90 of the time,1
on a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90 of the time,1
the system shall have high availability every day of the yearthe system must be available for use between 1200am and 600pm all days of the year,1
the system must be available for use between 700am and 1159pm all days of the year,1
the product shall be internet browser independentthe product must run using internet explorer and netscape navigator,1
the product shall ensure that only supervisors can advertise empty time slotsthe product must ensure that supervisors are allowed to access advertise empty time slots,1
the product shall ensure that only supervisors can enter a callers schedulethe product must ensure that supervisors are allowed to access advertise empty time slots,1
the product shall ensure that only supervisors can view schedule of all callersthe product must ensure that supervisors are allowed to access advertise empty time slots,1
the interface shall have a simple look in the interface and usability survey  90 of beta testers must report that the interface is adequately simple,1
the interface shall be appealing to callers and supervisors in the interface and usability survey  80 of beta testers must report that the interface is appealing,1
the product shall provide gui based monitoring servicessystem administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support,1
